切り取り：選択した項目を切り取り、クリップボードにコピーします。,command X
コピー：選択した項目をクリップボードにコピーします。このショートカットは、Finder 内のファイルに対しても使えます。,command C
ペースト：クリップボードの内容を現在の書類または App にペーストします。このショートカットは、Finder 内のファイルに対しても使えます。,command V
取り消す：直前のコマンドを取り消します。その後で、「command shift Z」キーを押してやり直す?(取り消しコマンドを取り消す) こともできます。一部の App では、複数のコマンドを取り消したり、やり直したりすることが可能です。,command Z
すべてを選択：項目をすべて選択します。,command A
検索：書類内の項目を検索します。または、「検索」ウインドウを開きます。,command F
次を検索：直前に検索した項目が次に出現する箇所を探します。前に出現した箇所を検索するには、「command shift G」キーを押します。,command G
隠す：最前面の App のウインドウを非表示にします。最前面の App を表示し、その他すべての App を隠すには、「command option H」キーを押します。,command H
しまう：最前面のウインドウを最小化して Dock にしまいます。最前面の App のウインドウをすべて最小化するには、「command option M」キーを押します。,command M
新規：新規の書類またはウインドウを開きます。,command N
開く：選択した項目を開きます。または、開くファイルを選択するためのダイアログが開きます。,command O
プリント：現在の書類をプリントします。,command P
保存：現在の書類を保存します。,command S
閉じる：最前面のウインドウを閉じます。App のウインドウをすべて閉じるには、「command option W」キーを押します。,command W
終了：App を終了します。,command Q
強制終了：App を選択して強制終了します。または、「command shift option esc」キーを 3 秒間押したままにすると、最前面の App のみを強制終了できます。,option command esc
Spotlight：Spotlight?検索フィールドの表示／非表示を切り替えます。Finder ウインドウから Spotlight 検索を実行するときは、「control option スペースバー」を押します。複数の入力ソースを使い分けてさまざまな言語で文字入力している場合は、これらのショートカットで、Spotlight が表示される代わりに入力ソースが切り替えられます。,control スペースバー
クイックルック：クイックルックを使って、選択されている項目をプレビューします。,スペースバー
App の切り替え：開いている App のうち、最近使った順番で次にあたる App に切り替えます。,command tab
ウインドウの切り替え：最前面の App のウインドウを、最近使った順番で次にあたるウインドウに切り替えます。,shift command チルダ (~)
スクリーンショット：画面全体のスクリーンショットを撮ります。スクリーンショットのショートカットについて詳しくは、こちらの記事を参照してください。,shift command 3
環境設定：最前面の App の環境設定を開きます。,"command カンマ (,)"
Mac を強制的に再起動します。*,control command 電源ボタン
すべての App を終了し、Mac を再起動します。開いている書類の変更内容が未保存の場合は、保存するかどうかを確認するメッセージが表示されます。*,control command メディア取り出しキー?
macOS ユーザアカウントからログアウトします。確認を求めるメッセージが表示されます。,shift command Q
macOS ユーザアカウントからただちにログアウトします。確認を求めるメッセージは表示されません。,option shift command Q
選択したテキストを太字にします。または、太字属性のオン／オフを切り替えます。?,command B
選択したテキストを斜体にします。または、斜体属性のオン／オフを切り替えます。,command I
選択したテキストに下線を引きます。または、下線属性のオン／オフを切り替えます。,command U
「フォント」ウインドウの表示／非表示を切り替えます。,command T
「開く」ダイアログまたは「保存」ダイアログ内で、「デスクトップ」フォルダを選択します。,command D
選択した単語の定義の表示／非表示を切り替えます。,control command D
「スペルと文法」ウインドウを表示します。,shift command コロン?(:)
書類内でスペルに誤りのある単語を検索します。,command セミコロン (;)
挿入ポイントの左側にある単語を削除します。,option delete
挿入ポイントの左側にある文字を削除します。または、「delete」キーをお使いください。,control H
挿入ポイントの右側にある文字を削除します。または、「fn delete」キーをお使いください。,control D
「 」(Forward Delete) キーのないキーボードで、挿入ポイントの右側にある文字を削除します。または、「control D」キーをお使いください。,fn delete
挿入ポイントから、行または段落の末尾までの範囲にあるテキストを削除します。,control K
「削除」ボタンまたは「保存しない」ボタンのあるダイアログで、「削除」または「保存しない」を選択します。,command delete
page up：1 ページ分上にスクロールします。?,fn 上矢印
page down：1 ページ分下にスクロールします。,fn 下矢印
home：書類の先頭までスクロールします。,fn 左矢印
end：書類の末尾までスクロールします。,fn 右矢印
挿入ポイントを書類の先頭に移動します。,command 上矢印
挿入ポイントを書類の末尾に移動します。,command 下矢印
挿入ポイントを現在の行の先頭に移動します。,command 左矢印
挿入ポイントを現在の行の末尾に移動します。,command 右矢印
挿入ポイントを前の単語の先頭に移動します。,option 左矢印
挿入ポイントを次の単語の末尾に移動します。,option 右矢印
挿入ポイントから、書類の先頭までの範囲のテキストを選択します。,shift command 上矢印
挿入ポイントから、書類の末尾までの範囲のテキストを選択します。,shift command 下矢印
挿入ポイントから、現在の行の先頭までの範囲のテキストを選択します。,shift command 左矢印
挿入ポイントから、現在の行の末尾までの範囲のテキストを選択します。,shift command 右矢印
選択したテキスト範囲を、1 つ上の行の、水平位置がもっとも近い文字まで拡張します。,shift 上矢印
選択したテキスト範囲を、1 つ下の行の、水平位置がもっとも近い文字まで拡張します。,shift 下矢印
選択したテキスト範囲を 1 文字分左に拡張します。,shift 左矢印
選択したテキスト範囲を 1 文字分右に拡張します。,shift 右矢印
選択したテキスト範囲を、現在の段落の先頭まで拡張します。もう一度押すと、その次の段落の先頭まで拡張します。,option shift 上矢印
選択したテキスト範囲を、現在の段落の末尾まで拡張します。もう一度押すと、その次の段落の末尾まで拡張します。,option shift 下矢印
選択したテキスト範囲を、現在の単語の先頭まで拡張します。もう一度押すと、その次の単語の先頭まで拡張します。,option shift 左矢印
選択したテキスト範囲を、現在の単語の末尾まで拡張します。もう一度押すと、その次の単語の末尾まで拡張します。,option shift 右矢印
行または段落の先頭に移動します。,control A
行または段落の末尾に移動します。,control E
1 文字分進みます。,control F
1 文字分戻ります。,control B
カーソルまたは選択範囲を表示領域の中央に表示します。,control L
1 行上に移動します。,control P
1 行下に移動します。,control N
挿入ポイントの後に 1 行挿入します。,control O
挿入ポイントの右側の文字と左側の文字を置換します。,control T
左揃えにします。,command {?(左中かっこ)
右揃えにします。,command }?(右中かっこ)
中央揃えにします。,shift command 縦棒 (|)
検索フィールドに移動します。?,option command F
App のツールバーの表示／非表示を切り替えます。,option command T
スタイルをコピー：選択した項目の書式設定をクリップボードにコピーします。,option command C
スタイルをペースト：コピーしたスタイルを、選択した項目に適用します。,option command V
ペーストしてスタイルを合わせる：コンテンツの中に貼り付けた項目に、その周りのコンテンツと同じスタイルを適用します。,option shift command V
「インスペクタ」ウインドウの表示／非表示を切り替えます。,option command I
ページ設定：書類設定を選択するためのウインドウを表示します。,shift command P
「別名で保存」ダイアログを表示します。または、現在の書類を複製します。,shift command S
選択したファイルを複製します。,command D
選択したディスクまたはボリュームを取り出します。,command E
Finder ウインドウで Spotlight 検索を開始します。,command F
選択したファイルの「情報を見る」ウインドウを表示します。,command I
「コンピュータ」ウインドウを開きます。,shift command C
「デスクトップ」フォルダを開きます。,shift command D
「マイファイル」ウインドウを開きます。,shift command F
「フォルダへ移動」ウインドウを開きます。,shift command G
現在の macOS ユーザアカウントのホームフォルダを開きます。,shift command H
iCloud Drive?を開きます。,shift command I
「ネットワーク」ウインドウを開きます。,shift command K
「ダウンロード」フォルダを開きます。,option command L
「書類」フォルダを開きます。,shift command O
「AirDrop」ウインドウを開きます。,shift command R
Finder で選択した項目を Dock に追加します (OS X Mountain Lion 以前)。,shift command T
Finder で選択した項目を Dock に追加します (OS X Mavericks 以降)。,control shift command T
「ユーティリティ」フォルダを開きます。,shift command U
Dock?の表示／非表示を切り替えます。このショートカットは通常、Finder の外部でも機能します。,option command D
選択した項目をサイドバーに追加します (OS X Mavericks 以降)。,control command T
Finder ウインドウのパスバーの表示／非表示を切り替えます。,option command P
Finder ウインドウのサイドバーの非表示／表示を切り替えます。,option command S
Finder ウインドウのステータスバーの非表示／表示を切り替えます。,command スラッシュ?(/)
表示オプションを表示します。,command J
「サーバへ接続」ウインドウを開きます。,command K
選択した項目のエイリアスを作成します。,command L
Finder の新しいウインドウを開きます。,command N
新規フォルダを作成します。,shift command N
新しいスマートフォルダを作成します。,option command N
選択したエイリアスの作成元のファイルを表示します。,command R
現在の Finder ウインドウでタブが 1 つ開いているときに、タブバーの表示／非表示を切り替えます。,command T
Finder タブの表示／非表示を切り替えます。,shift command T
現在の Finder ウインドウでタブが 1 つ開いているときに、ツールバーの表示／非表示を切り替えます。,option command T
